corpus,category
"On Census Citizenship Question, Supreme Court’s Conservatives Appear United. A naturalization ceremony last summer at the John F. Kennedy Presidential Library in Boston.Adding the question, government experts said, could depress participation in the census and affect how congressional seats are allocated.",Politics
Stephen Moore’s Columns Deriding Women Raise New Questions for Trump Fed Pick. Stephen Moore of The Heritage Foundation is a likely nominee by President Trump for the Federal Reserve Board.Mr. Moore’s past columns and appearances contain potential roadblocks to confirmation — including a history of writing about women in unflattering terms.,Politics
Pelosi Urges Caution on Impeachment as Some Democrats Push to Begin. Speaker Nancy Pelosi said in a letter to colleagues that it was clear Mr. Trump had “engaged in highly unethical and unscrupulous behavior which does not bring honor to the office he holds.”A letter and a conference call by Speaker Nancy Pelosi appeared intended to shore up support for the investigations already begun rather than impeachment proceedings.,Politics
"As McGahn Emerges as Chief Witness in the Mueller Report, Trump and Allies Ramp Up Attacks. President Trump’s personal lawyers are attacking the credibility of Donald F. McGahn II, the former White House counsel and a chief witness in the Russia investigation, in an effort to undermine the special counsel’s report.The president’s lawyers have attacked the former White House counsel since Robert Mueller released his report on whether the president obstructed justice.",Politics
"Trump Will Not Release Tax Returns to Congress, Spokesman Says. President Trump will not comply with a Tuesday deadline set by House Democrats to release his tax returns to Congress, according to the White House.A spokesman for the president signaled a deadline set by House Democrats to release six years’ worth of returns would not be met.",Politics
"M.J. Hegar, Veteran Armed With Viral Ads, Is Running for Senate in Texas. M.J. Hegar, left, at a campaign event in Georgetown, Texas, in September.A former Air Force helicopter pilot who narrowly lost a bid for the House in November will challenge Senator John Cornyn, a Republican, in 2020.",Politics
"The Big Money Challenge Awaiting Joe Biden in the 2020 Race. Joseph R. Biden Jr. does not have an at-the-ready list of grass-roots contributors to ply for small donations.Mr. Biden, ahead in the polls but behind financially, is seeking out top money bundlers, but that risks a backlash among grass-roots Democrats.",Politics
"Trump’s State Visit to Britain, Long Delayed, Now Has a Date. Queen Elizabeth II greeted President Trump at Windsor Castle, England, in July.Queen Elizabeth II formally invited the American leader to a three-day visit in June, when events for the 75th anniversary of D-Day will be held.",Politics
"Political Memo: Joe Biden Looms, but Bernie Sanders Is Running His Own Race. Senator Bernie Sanders of Vermont spoke at a rally in Pittsburgh last week. He is running his own race, even as former Vice President Joseph Biden looms as a rival.The Vermont senator has been the front-runner in early campaigning, but Mr. Biden’s expected entry could change that. Mr. Sanders is not likely to care.",Politics
Democrats Court a New Voting Bloc: People Who Don’t Own Homes. Elizabeth Warren campaigning in Las Vegas. She has said the housing crisis won’t be solved by “nibbling at the edges.”Renters have finally gotten Washington’s attention. Can anyone running for president help them?,Politics
On Politics: Pelosi Cautions on Impeachment. Speaker Nancy Pelosi said to colleagues that it was clear President Trump had engaged in behavior “which does not bring honor to the office he holds.”,Politics
"Kamala Harris Proposes Executive Orders on Gun Control. Senator Kamala Harris of California speaking in Atlanta last month. On Monday she named several actions on gun control that she would take if elected president.Ms. Harris pledged to implement measures that have long failed to pass in Congress, including mandatory background checks and regulations on manufacturers.",Politics
"Highlights From 5 Candidates at CNN Town Halls. From left, Amy Klobuchar, Bernie Sanders, Kamala Harris, Pete Buttigieg and Elizabeth Warren participated in a set of town halls hosted by CNN on Monday night.Bernie Sanders backed voting rights for people now in jail, including the Boston Marathon bomber, while Pete Buttigieg disagreed and Kamala Harris said, “I think we should have that conversation.”",Politics
"At a White House Tradition, Politics Color Everything but the Easter Eggs. President Trump and Melania Trump, the first lady, led several rounds of the annual White House Egg Roll.The Easter Egg Roll bore the hallmarks of holidays under President Trump, including not just the usual festivities but also exchanges about decapitation, impeachment and the wall.",Politics
"Trump Speaks About Sri Lanka and Impeachment at Easter Egg Roll. President Trump spoke to reporters about the Sri Lanka attacks and the possibility of impeachment, while hundreds of children celebrated the holiday at the White House Easter Egg Roll.",Politics
On Politics With Lisa Lerer: Who’s the Jeb of the 2020 Race?. In the On Politics newsletter: Democrats hoping to avoid Jeb Bush’s 2016 fate are finding themselves in familiar political minefields.,Politics
